co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
370.291666667,4,1.8,Front-Wheel Drive,Regular,Subaru,False,Man,Small Station Wagons
740.583333333,8,5,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
355.48,4,1.8,Front-Wheel Drive,Regular,Toyota,False,Aut,Small Station Wagons
341.807692308,4,1.8,Front-Wheel Drive,Regular,Toyota,False,Man,Small Station Wagons
423.190476190,4,2.2,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize-Large Station Wagons
467.736842105,6,3.3,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize-Large Station Wagons
423.190476190,6,3.3,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize-Large Station Wagons
444.35,4,1.8,4-Wheel or All-Wheel Drive,Regular,Eagle,False,Aut,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Eagle,False,Aut,Midsize-Large Station Wagons
423.190476190,4,1.8,4-Wheel or All-Wheel Drive,Regular,Eagle,False,Man,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Eagle,False,Man,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Eagle,False,Aut,Midsize-Large Station Wagons
634.785714286,8,5,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
444.35,4,2.4,Front-Wheel Drive,Regular,Eagle,False,Aut,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Eagle,False,Man,Midsize-Large Station Wagons
423.190476190,4,2.4,Front-Wheel Drive,Regular,Eagle,False,Man,Midsize-Large Station Wagons
423.190476190,6,3,Front-Wheel Drive,Regular,Ford,False,Aut,Midsize-Large Station Wagons
444.35,6,3.8,Front-Wheel Drive,Regular,Ford,False,Aut,Midsize-Large Station Wagons
423.190476190,6,3,Front-Wheel Drive,Regular,Mercury,False,Aut,Midsize-Large Station Wagons
444.35,6,3.8,Front-Wheel Drive,Regular,Mercury,False,Aut,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
444.35,4,2.4,Front-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
683.615384615,8,5.7,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
423.190476190,4,2.4,Front-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
444.35,4,1.8,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
423.190476190,4,1.8,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
444.35,4,2.4,Front-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Aut,Midsize-Large Station Wagons
423.190476190,4,2.4,Front-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Mitsubishi,False,Man,Midsize-Large Station Wagons
423.190476190,4,2.2,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize-Large Station Wagons
565.555555556,8,6.2,Rear-Wheel Drive,Diesel,GMC,False,Aut,Vans
467.736842105,6,3.3,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize-Large Station Wagons
423.190476190,6,3.3,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize-Large Station Wagons
467.736842105,6,3,Front-Wheel Drive,Premium,Mitsubishi,False,Aut,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize-Large Station Wagons
444.35,4,1.8,4-Wheel or All-Wheel Drive,Regular,Plymouth,False,Aut,Midsize-Large Station Wagons
386.391304348,4,1.8,Front-Wheel Drive,Regular,Plymouth,False,Man,Midsize-Large Station Wagons
423.190476190,4,1.8,4-Wheel or All-Wheel Drive,Regular,Plymouth,False,Man,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Plymouth,False,Aut,Midsize-Large Station Wagons
444.35,4,2.4,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize-Large Station Wagons
467.736842105,4,2.4,4-Wheel or All-Wheel Drive,Regular,Plymouth,False,Man,Midsize-Large Station Wagons
444.35,4,2.2,Front-Wheel Drive,Premium,Dodge,False,Man,Subcompact Cars
598.823529412,8,6.2,Rear-Wheel Drive,Diesel,GMC,False,Man,Vans
423.190476190,4,2.4,Front-Wheel Drive,Regular,Plymouth,False,Man,Midsize-Large Station Wagons
423.190476190,4,2.2,Front-Wheel Drive,Regular,Toyota,False,Aut,Midsize-Large Station Wagons
467.736842105,6,3,Front-Wheel Drive,Regular,Toyota,False,Aut,Midsize-Large Station Wagons
423.190476190,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Midsize-Large Station Wagons
403.954545455,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Man,Midsize-Large Station Wagons
493.722222222,6,2.8,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Midsize-Large Station Wagons
444.35,6,2.8,Front-Wheel Drive,Regular,Volkswagen,False,Man,Midsize-Large Station Wagons
444.35,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize-Large Station Wagons
423.190476190,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Man,Midsize-Large Station Wagons
467.736842105,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize-Large Station Wagons
807.909090909,8,5.7,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
444.35,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize-Large Station Wagons
493.722222222,6,2.9,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize-Large Station Wagons
522.764705882,8,5.7,Rear-Wheel Drive,Regular,Buick,False,Aut,Midsize-Large Station Wagons
